11/19/2017 1:38:23 PM	DESKTOP-MSBPGIG\Babic	1	2	354

20-Nov-17 12:35:26	Branci-PC\Coa	1	7	123123

20-Nov-17 12:35:52	Branci-PC\Coa	1	0	321321

20-Nov-17 12:36:18	Branci-PC\Coa	1	3	123123123

20-Nov-17 12:36:25	Branci-PC\Coa	1	5	312312

20-Nov-17 12:36:28	Branci-PC\Coa	1	4	123123

20-Nov-17 12:37:25	Branci-PC\Coa	1	1	1

20-Nov-17 13:02:35	Branci-PC\Branci	1	1	123

20-Nov-17 13:02:47	Branci-PC\Branci	1	3	312

20-Nov-17 13:02:54	Branci-PC\Branci	1	3	312312

20-Nov-17 13:03:26	Branci-PC\Branci	1	3	312

20-Nov-17 13:03:33	Branci-PC\Branci	1	1	123123

20-Nov-17 13:03:36	Branci-PC\Branci	1	3	312

20-Nov-17 13:04:02	Branci-PC\Branci	1	3	312

20-Nov-17 13:04:05	Branci-PC\Branci	1	3	31232

20-Nov-17 13:04:32	Branci-PC\Branci	1	3	123

20-Nov-17 13:04:34	Branci-PC\Branci	1	1	123

20-Nov-17 13:04:54	Branci-PC\Branci	1	1	123

20-Nov-17 13:04:57	Branci-PC\Branci	1	2	3123123

20-Nov-17 13:05:17	Branci-PC\Branci	1	3	321

20-Nov-17 13:05:23	Branci-PC\Branci	1	1	123123

20-Nov-17 13:05:33	Branci-PC\Branci	1	2	321

20-Nov-17 13:05:38	Branci-PC\Branci	1	1	123

20-Nov-17 13:06:17	Branci-PC\Branci	1	2	123

20-Nov-17 13:06:38	Branci-PC\Branci	1	2	312

20-Nov-17 13:06:50	Branci-PC\Branci	1	2	123

20-Nov-17 13:07:10	Branci-PC\Branci	1	2	123

20-Nov-17 13:07:47	Branci-PC\Branci	1	2	123

20-Nov-17 13:08:09	Branci-PC\Branci	1	2	312312

20-Nov-17 13:08:44	Branci-PC\Branci	1	1	123

20-Nov-17 13:09:38	Branci-PC\Branci	1	2	123

20-Nov-17 13:12:19	Branci-PC\Branci	1	1	1

20-Nov-17 13:19:30	Branci-PC\Branci	1	1	1

20-Nov-17 13:19:37	Branci-PC\Branci	1	1	123

20-Nov-17 13:19:51	Branci-PC\Branci	1	1	123123

20-Nov-17 13:20:28	Branci-PC\Branci	1	5	123

20-Nov-17 13:20:33	Branci-PC\Branci	1	5	564

20-Nov-17 13:20:56	Branci-PC\Branci	1	5	456

20-Nov-17 13:20:59	Branci-PC\Branci	1	4	64
